factor,name_cn,mainline,freq,classic,diff,n_valid,decision,reason
f_stock_pct20,库存(仓单)20日环比,基准因子(exp405保留),日频(仓单),经典因子,—,648,可构建,
f_wh_basis,仓单基差(现货-期货),主线3,日频(spot_avg+close),差异化改进,"弥补基差噪音,用仓单口径",733,可构建,
f_wh_basis_x_stockpct,仓单基差×仓单增速,主线3交叉项,日频,差异化改进,条件型信号:交割压力,621,可构建,
f_oprate_pct20,开工率20日环比,主线2,周频前向填充,经典因子,"发布滞后,已对齐落地日",735,可构建,
f_prod_pct20,产量20日环比,主线2,周频前向填充,经典因子,"发布滞后,已对齐",735,可构建,
f_cell_pct20,动力电池20日环比,主线2,周频前向填充,经典因子,"数据少(35可算),置信低",397,可构建,
SKIP:厂库/总库存占比,厂库/总库存占比,—,—,—,—,0,跳过,inventory_total缺失97%(仅22非空)
SKIP:仓单/社会库存比值,仓单/社会库存比值,—,—,—,—,0,跳过,社会库存月度35条
SKIP:地区库存结构(江西/青海/四川),地区库存结构(江西/青海/四川),—,—,—,—,0,跳过,月度35条
SKIP:成本偏离因子,成本偏离因子,—,—,—,—,0,跳过,无成本数据
SKIP:储能电池出货/下游排产,储能电池出货/下游排产,—,—,—,—,0,跳过,无独立字段
